system,dataset,examples,avg_time,avg_compression,avg_repetition,avg_tokens,avg_complexity,rouge1,rouge2,rougeL,bert_f1
Claude-Baseline,CNN/DM,75,4.033041028976441,6.189047986941861,0.012127544699494435,881.3466666666667,0.7602864377145058,0.3421341754151752,0.12499528187131215,0.2146973721804002,0.8676376732190451
GPT4-Baseline,CNN/DM,75,3.32451997756958,6.176886403409686,0.016720987374539458,881.3466666666667,0.7602864377145058,0.3458344488848445,0.13261631669203772,0.21763494223920016,0.8708725539843242
Claude-Baseline,GovReport,75,11.828872013092042,37.99105663954508,0.050369563500340955,10227.013333333334,0.6667054418182642,0.30915481011155005,0.10258612288153293,0.16056003989950485,0.8406254355112711
GPT4-Baseline,GovReport,75,36.95607426007589,22.222058860082644,0.06401787301185927,10227.013333333334,0.6667054418182642,0.42688702356776964,0.13410285303612066,0.18696360943984655,0.8563830439249674
Claude-Baseline,XSum,75,3.5691418266296386,3.9113984885291955,0.009652123061778959,501.2133333333333,0.8274350351110863,0.18683225004036252,0.04950193722720891,0.12620417611360019,0.8606952881813049
GPT4-Baseline,XSum,75,2.9832972431182863,3.6773262737329158,0.012060023276562448,501.2133333333333,0.8274350351110863,0.1710968150594731,0.03968682937976628,0.11615414851808001,0.8593363118171692
Adaptive,CNN/DM,75,6.004447784423828,3.5717979064592025,0.01829400687811497,1266.7066666666667,0.6311566869254432,0.27123682804473137,0.0997994872269374,0.16922458855660572,0.8394879961013794
Multi-Agent,CNN/DM,75,18.201721026102703,2.5901798218336984,0.02369274609403232,3243.84,0.6311566869254432,0.1993592157513467,0.0582008215136104,0.1092118604715519,0.8142982387542724
Adaptive,GovReport,75,25.70107439994812,41.85376303419033,0.027335575543561565,19741.18666666667,0.6862366438633565,0.2657443016507849,0.07269484085622553,0.1336415388447362,0.8255928587913514
Multi-Agent,GovReport,75,28.520464900334677,22.878379588332503,0.03486345699923583,21528.2,0.6862366438633565,0.2995221298557923,0.06474552234109401,0.12893861114219018,0.8129986000061035
Adaptive,XSum,75,2.9924235661824543,8.795254200704992,0.003161097792765616,719.7733333333333,0.5889356333057342,0.24843403014004156,0.07041019324493628,0.17681652687785102,0.8746600302060445
Multi-Agent,XSum,75,15.470490277608235,1.91438132617423,0.03346486857814697,2303.8533333333335,0.5889356333057342,0.09310596200710225,0.02024897335237732,0.06549192704122636,0.8115187191963196
